crypto_punk,image
"1  #5822 8KΞ ($23.7M) Feb 12, 2022",/public/images/cryptopunks/punk5822.png
"2  #3100 4.2KΞ ($7.58M) Mar 11, 2021",/public/images/cryptopunks/punk3100.png
"3  #7804 4.2KΞ ($7.57M) Mar 11, 2021",/public/images/cryptopunks/punk7804.png
"4  #4156 2.69KΞ ($3.31M) Jul 15, 2022",/public/images/cryptopunks/punk4156.png
"5  #5577 2.5KΞ ($7.7M) Feb 09, 2022",/public/images/cryptopunks/punk5577.png
"6  #4464 2.5KΞ ($2.62M) Jul 12, 2022",/public/images/cryptopunks/punk4464.png
"7  #4156 2.5KΞ ($10.26M) Dec 09, 2021",/public/images/cryptopunks/punk4156.png
"8  #5217 2.25KΞ ($5.45M) Jul 30, 2021",/public/images/cryptopunks/punk5217.png
"9  #8857 2KΞ ($6.63M) Sep 11, 2021",/public/images/cryptopunks/punk8857.png
"10  #2140 1.6KΞ ($3.76M) Jul 30, 2021",/public/images/cryptopunks/punk2140.png
"11  #7252 1.6KΞ ($5.33M) Aug 24, 2021",/public/images/cryptopunks/punk7252.png
"12  #2338 1.5KΞ ($4.32M) Aug 06, 2021",/public/images/cryptopunks/punk2338.png
"13  #6275 1.32KΞ ($5.12M) Sep 04, 2021",/public/images/cryptopunks/punk6275.png
"14  #7121 1.18KΞ ($3.08M) Jan 30, 2022",/public/images/cryptopunks/punk7121.png
"15  #7756 1.05KΞ ($3.23M) Apr 13, 2022",/public/images/cryptopunks/punk7756.png
"16  #6275 1KΞ ($3.89M) Sep 04, 2021",/public/images/cryptopunks/punk6275.png
"17  #7252 1KΞ ($2.53M) Aug 04, 2021",/public/images/cryptopunks/punk7252.png
"18  #2681 900Ξ ($3.07M) Jan 06, 2022",/public/images/cryptopunks/punk2681.png
"19  #8888 888.80Ξ ($2.87M) Aug 28, 2021",/public/images/cryptopunks/punk8888.png
"20  #3831 850Ξ ($2.08M) Jul 30, 2021",/public/images/cryptopunks/punk3831.png
"21  #8531 825Ξ ($867.08K) Jun 22, 2022",/public/images/cryptopunks/punk8531.png
"22  #6649 810Ξ ($1.98M) Jul 31, 2021",/public/images/cryptopunks/punk6649.png
"23  #6965 800Ξ ($1.54M) Feb 19, 2021",/public/images/cryptopunks/punk6965.png
"24  #2140 750Ξ ($1.18M) Mar 02, 2021",/public/images/cryptopunks/punk2140.png
"25  #8472 700Ξ ($1.71M) Jul 30, 2021",/public/images/cryptopunks/punk8472.png
"26  #3011 667Ξ ($1.76M) Apr 27, 2021",/public/images/cryptopunks/punk3011.png
"27  #4156 650Ξ ($1.25M) Feb 18, 2021",/public/images/cryptopunks/punk4156.png
"28  #2890 605Ξ ($761.89K) Jan 23, 2021",/public/images/cryptopunks/punk2890.png
"29  #6487 550Ξ ($1.05M) Feb 22, 2021",/public/images/cryptopunks/punk6487.png
"30  #6297 520.69Ξ ($1.17M) Jul 05, 2021",/public/images/cryptopunks/punk6297.png
"31  #3393 500Ξ ($954.65K) Mar 13, 2021",/public/images/cryptopunks/punk3393.png
"32  #561 500Ξ ($2.38M) Nov 08, 2021",/public/images/cryptopunks/punk0561.png
"33  #9052 500Ξ ($1.57M) Aug 27, 2021",/public/images/cryptopunks/punk9052.png
"34  #2066 500Ξ ($1.46M) May 02, 2021",/public/images/cryptopunks/punk2066.png
"35  #1422 500Ξ ($2M) Oct 27, 2021",/public/images/cryptopunks/punk1422.png
"36  #9373 499.99Ξ ($1.62M) Aug 28, 2021",/public/images/cryptopunks/punk9373.png
"37  #2484 480Ξ ($1.08M) Apr 19, 2021",/public/images/cryptopunks/punk2484.png
"38  #6817 480Ξ ($1.53M) Aug 29, 2021",/public/images/cryptopunks/punk6817.png
"39  #2306 461Ξ ($975.13K) Apr 18, 2021",/public/images/cryptopunks/punk2306.png
"40  #1886 450Ξ ($1.06M) Jul 04, 2021",/public/images/cryptopunks/punk1886.png
"41  #4992 450Ξ ($1.81M) Oct 23, 2021",/public/images/cryptopunks/punk4992.png
"42  #3783 450Ξ ($1.12M) Jan 26, 2022",/public/images/cryptopunks/punk3783.png
"43  #2329 450Ξ ($1.04M) Jul 29, 2021",/public/images/cryptopunks/punk2329.png
"44  #4220 450Ξ ($1.53M) Oct 03, 2021",/public/images/cryptopunks/punk4220.png
"45  #8865 450Ξ ($1.58M) Apr 03, 2022",/public/images/cryptopunks/punk8865.png
"46  #6649 450Ξ ($1.04M) Jul 29, 2021",/public/images/cryptopunks/punk6649.png
"47  #6721 449Ξ ($1.27M) Sep 29, 2021",/public/images/cryptopunks/punk6721.png
"48  #2964 444Ξ ($439.18K) Jun 18, 2022",/public/images/cryptopunks/punk2964.png
"49  #8805 420.69Ξ ($1.29M) Aug 07, 2021",/public/images/cryptopunks/punk8805.png
"50  #1119 400.04Ξ ($846.26K) Jul 01, 2021",/public/images/cryptopunks/punk1119.png
"51  #1190 400Ξ ($1.38M) May 18, 2021",/public/images/cryptopunks/punk1190.png
"52  #8620 400Ξ ($1.02M) Aug 03, 2021",/public/images/cryptopunks/punk8620.png
"53  #2140 400Ξ ($731.6K) Feb 22, 2021",/public/images/cryptopunks/punk2140.png
"54  #3011 400Ξ ($726.46K) Mar 12, 2021",/public/images/cryptopunks/punk3011.png
"55  #9953 399.69Ξ ($1.58M) Dec 17, 2021",/public/images/cryptopunks/punk9953.png
"56  #7971 398.95Ξ ($442.49K) Jun 29, 2022",/public/images/cryptopunks/punk7971.png
"57  #9952 388.88Ξ ($1.23M) Aug 30, 2021",/public/images/cryptopunks/punk9952.png
"58  #9129 387Ξ ($1.85M) Nov 09, 2021",/public/images/cryptopunks/punk9129.png
"59  #6704 380Ξ ($785.47K) Apr 08, 2021",/public/images/cryptopunks/punk6704.png
"60  #2310 380Ξ ($1.24M) Aug 28, 2021",/public/images/cryptopunks/punk2310.png
